,loss,accuracy,auc,square_hinge,true_positives,true_negatives,val_loss,val_accuracy,val_auc,val_square_hinge,val_true_positives,val_true_negatives,lr
19,0.10013149678707123,0.9585889577865601,0.9936520457267761,0.3095756769180298,3686.0,1314.0,0.892585813999176,0.6684492230415344,0.9916361570358276,1.2557382583618164,117.0,8.0,0.0001250000059371814
20,0.08653406798839569,0.9639570713043213,0.9937222599983215,0.30304673314094543,3705.0,1323.0,0.13687928020954132,0.9411764740943909,0.9997556805610657,0.5532639622688293,117.0,59.0,6.25000029685907e-05
21,0.09147358685731888,0.9635736346244812,0.994317352771759,0.30469703674316406,3710.0,1316.0,0.3228168487548828,0.855614960193634,0.9985958933830261,0.7834653854370117,117.0,43.0,6.25000029685907e-05
22,0.0934334471821785,0.962806761264801,0.9934872984886169,0.30574485659599304,3703.0,1319.0,0.4573490023612976,0.7860962748527527,0.9995726943016052,0.9137901067733765,117.0,30.0,6.25000029685907e-05
23,0.08183475583791733,0.9668328166007996,0.9955633282661438,0.30024319887161255,3721.0,1322.0,0.08564594388008118,0.9679144620895386,0.9989010691642761,0.4121653437614441,111.0,70.0,3.125000148429535e-05
24,0.0784602016210556,0.96875,0.9956391453742981,0.2982274293899536,3728.0,1325.0,0.12691254913806915,0.9625668525695801,0.9993284344673157,0.41653332114219666,110.0,70.0,3.125000148429535e-05
25,0.0815807655453682,0.9674080014228821,0.9952602386474609,0.3005286753177643,3723.0,1323.0,0.06703636050224304,0.9732620120048523,0.9997557997703552,0.4061209261417389,112.0,70.0,3.125000148429535e-05
26,0.08342386037111282,0.9656825065612793,0.9948794841766357,0.30107492208480835,3716.0,1321.0,0.05227382853627205,0.9839572310447693,1.0,0.40407681465148926,114.0,70.0,3.125000148429535e-05
27,0.07843049615621567,0.96875,0.9946881532669067,0.29879701137542725,3727.0,1326.0,0.06206592172384262,0.9732620120048523,0.9993894696235657,0.40852922201156616,113.0,69.0,3.125000148429535e-05
28,0.08458159863948822,0.9666411280632019,0.9949537515640259,0.3011830151081085,3723.0,1319.0,0.17827938497066498,0.9518716335296631,0.9985958337783813,0.43330398201942444,108.0,70.0,3.125000148429535e-05
29,0.07024673372507095,0.9745015501976013,0.9962239861488342,0.29303836822509766,3757.0,1326.0,0.07127345353364944,0.9732620120048523,0.9993895888328552,0.4113607704639435,113.0,69.0,1.5625000742147677e-05
30,0.0818486139178276,0.9695168733596802,0.9946432113647461,0.2991694509983063,3736.0,1321.0,0.0736747682094574,0.9732620120048523,0.9995116591453552,0.4073437452316284,112.0,70.0,1.5625000742147677e-05
31,0.08001202344894409,0.9712423086166382,0.9940885901451111,0.2975127398967743,3743.0,1323.0,0.07032650709152222,0.9679144620895386,0.9993895888328552,0.40883827209472656,112.0,69.0,7.812500371073838e-06
32,0.07630760967731476,0.9697085618972778,0.9945573210716248,0.2967635691165924,3731.0,1327.0,0.05882619321346283,0.9732620120048523,0.9993895292282104,0.40757665038108826,113.0,69.0,7.812500371073838e-06
33,0.07714203745126724,0.9685583114624023,0.9949138164520264,0.29740047454833984,3730.0,1322.0,0.07401508837938309,0.9732620120048523,0.99951171875,0.4080159068107605,112.0,70.0,3.906250185536919e-06
34,0.07183335721492767,0.9699003100395203,0.9956110119819641,0.2955349087715149,3730.0,1329.0,0.08088172227144241,0.9732620120048523,0.9995116591453552,0.40895408391952515,112.0,70.0,3.906250185536919e-06
35,0.08040889352560043,0.9710506200790405,0.9942491054534912,0.2977827489376068,3740.0,1325.0,0.07272107154130936,0.9732620120048523,0.9993895888328552,0.40886175632476807,112.0,70.0,1.9531250927684596e-06
